GL173633	GL173633.1
GL173634	GL173634.1
GL173635	GL173635.1
GL173636	GL173636.1
GL173637	GL173637.1
GL173638	GL173638.1
GL173639	GL173639.1
GL173640	GL173640.1
GL173641	GL173641.1
GL173642	GL173642.1
GL173643	GL173643.1
GL173644	GL173644.1
GL173645	GL173645.1
GL173646	GL173646.1
GL173647	GL173647.1
GL173648	GL173648.1
GL173649	GL173649.1
GL173650	GL173650.1
GL173651	GL173651.1
GL173652	GL173652.1
GL173653	GL173653.1
GL173654	GL173654.1
GL173655	GL173655.1
GL173656	GL173656.1
GL173657	GL173657.1
GL173658	GL173658.1
GL173659	GL173659.1
GL173660	GL173660.1
GL173661	GL173661.1
GL173662	GL173662.1
GL173663	GL173663.1
GL173664	GL173664.1
GL173665	GL173665.1
GL173666	GL173666.1
GL173667	GL173667.1
GL173668	GL173668.1
GL173669	GL173669.1
GL173670	GL173670.1
GL173671	GL173671.1
GL173672	GL173672.1
GL173673	GL173673.1
GL173674	GL173674.1
GL173675	GL173675.1
GL173676	GL173676.1
GL173677	GL173677.1
GL173678	GL173678.1
GL173679	GL173679.1
GL173680	GL173680.1
GL173681	GL173681.1
GL173682	GL173682.1
GL173683	GL173683.1
GL173684	GL173684.1
GL173685	GL173685.1
GL173686	GL173686.1
GL173687	GL173687.1
GL173688	GL173688.1
GL173689	GL173689.1
GL173690	GL173690.1
GL173691	GL173691.1
GL173692	GL173692.1
GL173693	GL173693.1
GL173694	GL173694.1
GL173695	GL173695.1
GL173696	GL173696.1
GL173697	GL173697.1
GL173698	GL173698.1
GL173699	GL173699.1
GL173700	GL173700.1
GL173701	GL173701.1
GL173702	GL173702.1
GL173703	GL173703.1
GL173704	GL173704.1
GL173705	GL173705.1
GL173706	GL173706.1
GL173707	GL173707.1
GL173708	GL173708.1
GL173709	GL173709.1
GL173710	GL173710.1
GL173711	GL173711.1
GL173712	GL173712.1
GL173713	GL173713.1
GL173714	GL173714.1
GL173715	GL173715.1
GL173716	GL173716.1
GL173717	GL173717.1
GL173718	GL173718.1
GL173719	GL173719.1
GL173720	GL173720.1
GL173721	GL173721.1
GL173722	GL173722.1
GL173723	GL173723.1
GL173724	GL173724.1
GL173725	GL173725.1
GL173726	GL173726.1
GL173727	GL173727.1
GL173728	GL173728.1
GL173729	GL173729.1
GL173730	GL173730.1
GL173731	GL173731.1
GL173732	GL173732.1
GL173733	GL173733.1
GL173734	GL173734.1
GL173735	GL173735.1
GL173736	GL173736.1
GL173737	GL173737.1
GL173738	GL173738.1
GL173739	GL173739.1
GL173740	GL173740.1
GL173741	GL173741.1
GL173742	GL173742.1
GL173743	GL173743.1
GL173744	GL173744.1
GL173745	GL173745.1
GL173746	GL173746.1
GL173747	GL173747.1
GL173748	GL173748.1
GL173749	GL173749.1
GL173750	GL173750.1
GL173751	GL173751.1
GL173752	GL173752.1
GL173753	GL173753.1
GL173754	GL173754.1
GL173755	GL173755.1
GL173756	GL173756.1
GL173757	GL173757.1
GL173758	GL173758.1
GL173759	GL173759.1
GL173760	GL173760.1
GL173761	GL173761.1
GL173762	GL173762.1
GL173763	GL173763.1
GL173764	GL173764.1
GL173765	GL173765.1
GL173766	GL173766.1
GL173767	GL173767.1
GL173768	GL173768.1
GL173769	GL173769.1
GL173770	GL173770.1
GL173771	GL173771.1
GL173772	GL173772.1
GL173773	GL173773.1
GL173774	GL173774.1
GL173775	GL173775.1
GL173776	GL173776.1
GL173777	GL173777.1
GL173778	GL173778.1
GL173779	GL173779.1
GL173780	GL173780.1
GL173781	GL173781.1
GL173782	GL173782.1
GL173783	GL173783.1
GL173784	GL173784.1
GL173785	GL173785.1
GL173786	GL173786.1
GL173787	GL173787.1
GL173788	GL173788.1
GL173789	GL173789.1
GL173790	GL173790.1
GL173791	GL173791.1
GL173792	GL173792.1
GL173793	GL173793.1
GL173794	GL173794.1
GL173795	GL173795.1
GL173796	GL173796.1
GL173797	GL173797.1
GL173798	GL173798.1
GL173799	GL173799.1
GL173800	GL173800.1
GL173801	GL173801.1
GL173802	GL173802.1
